Date,Close
"Oct 28, 2009","1,046.40"
"Oct 27, 2009","1,029.90"
"Oct 26, 2009","1,034.70"
"Oct 25, 2009","1,042.10"
"Oct 22, 2009","1,055.60"
"Oct 21, 2009","1,057.80"
"Oct 20, 2009","1,063.70"
"Oct 19, 2009","1,057.80"
"Oct 18, 2009","1,057.30"
"Oct 15, 2009","1,050.70"
"Oct 14, 2009","1,049.80"
"Oct 13, 2009","1,063.90"
"Oct 12, 2009","1,064.20"
"Oct 11, 2009","1,056.70"
"Oct 08, 2009","1,047.80"
"Oct 07, 2009","1,055.40"
"Oct 06, 2009","1,043.30"
"Oct 05, 2009","1,038.60"
"Oct 04, 2009","1,016.70"
"Oct 01, 2009","1,003.20"
"Sept 30, 2009",999.5
"Sept 29, 2009","1,008.00"
"Sept 28, 2009",993.1
"Sept 27, 2009",992.5
"Sept 24, 2009",990.2
"Sept 23, 2009",997.5
"Sept 22, 2009","1,013.00"
"Sept 21, 2009","1,014.20"
"Sept 20, 2009","1,003.70"
"Sept 17, 2009","1,009.20"
"Sept 16, 2009","1,012.30"
"Sept 15, 2009","1,018.90"
"Sept 14, 2009","1,005.00"
"Sept 13, 2009",999.9
"Sept 10, 2009","1,004.90"
"Sept 09, 2009",995.4
"Sept 08, 2009",995.3
"Sept 07, 2009",997.9
"Sept 03, 2009",994.9
"Sept 02, 2009",995.8
"Sept 01, 2009",976.6
"Aug 31, 2009",954.7
"Aug 30, 2009",951.7
"Aug 27, 2009",957
"Aug 26, 2009",945.5
"Aug 25, 2009",944.3
"Aug 24, 2009",944.5
"Aug 23, 2009",942.3
"Aug 20, 2009",953.2
"Aug 19, 2009",940.3
"Aug 18, 2009",943.3
"Aug 17, 2009",937.7
"Aug 16, 2009",934.3
"Aug 13, 2009",947
"Aug 12, 2009",954.7
"Aug 11, 2009",950.7
"Aug 10, 2009",945.8
"Aug 09, 2009",945
"Aug 06, 2009",957.3
"Aug 05, 2009",960.7
"Aug 04, 2009",964.2
"Aug 03, 2009",967.5
"Aug 02, 2009",956.6
"Jul 30, 2009",953.7
"Jul 29, 2009",934.9
"Jul 28, 2009",927.2
"Jul 27, 2009",939
"Jul 26, 2009",953.3
"Jul 23, 2009",952.8
"Jul 22, 2009",954.5
"Jul 21, 2009",953
"Jul 20, 2009",946.6
"Jul 19, 2009",948.5
"Jul 16, 2009",937.2
"Jul 15, 2009",935.1
"Jul 14, 2009",939.1
"Jul 13, 2009",922.5
"Jul 12, 2009",922.2
"Jul 09, 2009",912.2
"Jul 08, 2009",915.9
"Jul 07, 2009",909
"Jul 06, 2009",928.8
"Jul 05, 2009",924
"Jul 01, 2009",930.7
"Jun 30, 2009",941
"Jun 29, 2009",927.1
"Jun 28, 2009",940.4
"Jun 25, 2009",940.7
"Jun 24, 2009",939.1
"Jun 23, 2009",934.1
"Jun 22, 2009",923.9
"Jun 21, 2009",920.6
"Jun 18, 2009",935.6
"Jun 17, 2009",934
"Jun 16, 2009",935.4
"Jun 15, 2009",931.6
"Jun 14, 2009",926.9
"Jun 11, 2009",940.1
"Jun 10, 2009",961.3
"Jun 09, 2009",954
"Jun 08, 2009",954
"Jun 07, 2009",951.7
"Jun 04, 2009",961.7
"Jun 03, 2009",981.2
"Jun 02, 2009",964.5
"Jun 01, 2009",983.2
"May 31, 2009",978.6
"May 28, 2009",978.8
"May 27, 2009",961.5
"May 26, 2009",953.2
"May 25, 2009",953.1
"May 21, 2009",958.5
"May 20, 2009",950.8
"May 19, 2009",937
"May 18, 2009",926.3
"May 17, 2009",921.3
"May 14, 2009",930.9
"May 13, 2009",928
"May 12, 2009",925.5
"May 11, 2009",923.5
"May 10, 2009",913
"May 07, 2009",914.4
"May 06, 2009",915
"May 05, 2009",910.5
"May 04, 2009",903.7
"May 03, 2009",901.6
"Apr 30, 2009",887.6
"Apr 29, 2009",890.7
"Apr 28, 2009",899.8
"Apr 27, 2009",892.8
"Apr 26, 2009",907.4
"Apr 23, 2009",913.6
"Apr 22, 2009",905.9
"Apr 21, 2009",891.8
"Apr 20, 2009",882.1
"Apr 19, 2009",887
"Apr 16, 2009",867.4
"Apr 15, 2009",879.3
"Apr 14, 2009",892.8
"Apr 13, 2009",890.9
"Apr 12, 2009",894.7
"Apr 08, 2009",882.2
"Apr 07, 2009",884.8
"Apr 06, 2009",882.2
"Apr 05, 2009",871.5
"Apr 02, 2009",895.6
"Apr 01, 2009",907.4
"Mar 31, 2009",926.1
"Mar 30, 2009",922.6
"Mar 29, 2009",915.5
"Mar 26, 2009",923
"Mar 25, 2009",939.6
"Mar 24, 2009",935.4
"Mar 23, 2009",923.3
"Mar 22, 2009",952.1
"Mar 19, 2009",955.8
"Mar 18, 2009",958.3
"Mar 17, 2009",888.7
"Mar 16, 2009",916.4
"Mar 15, 2009",921.6
"Mar 12, 2009",929.8
"Mar 11, 2009",923.7
"Mar 10, 2009",910.4
"Mar 09, 2009",895.6
"Mar 08, 2009",917.7
"Mar 06, 2009",942.1
"Mar 05, 2009",927
"Mar 04, 2009",906
"Mar 03, 2009",912.9
"Mar 02, 2009",939
"Feb 27, 2009",941.5
"Feb 26, 2009",941.8
"Feb 25, 2009",965.7
"Feb 24, 2009",969.1
"Feb 23, 2009",994.6
"Feb 20, 2009","1,001.80"
"Feb 19, 2009",976.1
"Feb 18, 2009",977.7
"Feb 17, 2009",967
"Feb 13, 2009",941.5
"Feb 12, 2009",948.5
"Feb 11, 2009",943.8
"Feb 10, 2009",913.7
"Feb 09, 2009",892.4
"Feb 06, 2009",913.9
"Feb 05, 2009",913.6
"Feb 04, 2009",901.6
"Feb 03, 2009",892
"Feb 02, 2009",906.7
"Jan 30, 2009",927.3
"Jan 29, 2009",905.1
"Jan 28, 2009",888.1
"Jan 27, 2009",899.2
"Jan 26, 2009",908.5
"Jan 23, 2009",895.3
"Jan 22, 2009",858.2
"Jan 21, 2009",849.6
"Jan 20, 2009",854.6
"Jan 16, 2009",839.3
"Jan 15, 2009",806.7
"Jan 14, 2009",808.2
"Jan 13, 2009",820.1
"Jan 12, 2009",820.3
"Jan 09, 2009",854.3
"Jan 08, 2009",853.9
"Jan 07, 2009",841.1
"Jan 06, 2009",865.4
"Jan 05, 2009",857.2
"Jan 02, 2009",878.8
"Dec 31, 2008",883.6
"Dec 30, 2008",869.3
"Dec 29, 2008",874.6
"Dec 26, 2008",870.4
"Dec 24, 2008",847.1
"Dec 23, 2008",837.2
"Dec 22, 2008",846.2
"Dec 19, 2008",836.4
"Dec 18, 2008",859.6
"Dec 17, 2008",867.5
"Dec 16, 2008",841.7
"Dec 15, 2008",835.4
"Dec 12, 2008",818.9
"Dec 11, 2008",824.9
"Dec 10, 2008",807.1
"Dec 09, 2008",772.4
"Dec 08, 2008",767.4
"Dec 05, 2008",750.5
"Dec 04, 2008",763.8
"Dec 03, 2008",768.8
"Dec 02, 2008",781.3
"Dec 01, 2008",774.6
"Nov 28, 2008",816.2
"Nov 26, 2008",808.5
"Nov 25, 2008",818.4
"Nov 24, 2008",819.4
"Nov 21, 2008",791.7
"Nov 20, 2008",748.6
"Nov 19, 2008",735.9
"Nov 18, 2008",732.6
"Nov 17, 2008",741.9
"Nov 14, 2008",742.4
"Nov 13, 2008",704.9
"Nov 12, 2008",717.7
"Nov 11, 2008",732
"Nov 10, 2008",745.6
"Nov 07, 2008",733.2
"Nov 06, 2008",731.2
"Nov 05, 2008",741.3
"Nov 04, 2008",756
"Nov 03, 2008",725.4
"Oct 30, 2008",716.8
"Oct 29, 2008",737.2
"Oct 28, 2008",752.8
"Oct 27, 2008",739.3
"Oct 26, 2008",741.7
"Oct 23, 2008",729.1
"Oct 22, 2008",713.3
"Oct 21, 2008",733.3
"Oct 20, 2008",766.1
"Oct 19, 2008",787.6
"Oct 16, 2008",785.1
"Oct 15, 2008",801.5
"Oct 14, 2008",835.5
"Oct 13, 2008",836.3
"Oct 12, 2008",838.9
"Oct 09, 2008",855.4
"Oct 08, 2008",883.1
"Oct 07, 2008",903.1
"Oct 06, 2008",878.4
"Oct 05, 2008",862.7
"Oct 02, 2008",828.9
"Oct 01, 2008",839
"Sept 30, 2008",880.7
"Sept 29, 2008",874.2
"Sept 28, 2008",888.2
"Sept 25, 2008",882.9
"Sept 24, 2008",877.7
"Sept 23, 2008",889
"Sept 22, 2008",885.5
"Sept 21, 2008",903.9
"Sept 18, 2008",860.6
"Sept 17, 2008",892.7
"Sept 16, 2008",846.6
"Sept 15, 2008",776.5
"Sept 14, 2008",783.1
